itin_id,slug,field,old_value,new_value,pct_change,queryA_value,queryB_value,queries_agree,literal_value_seen,sailing_id,source_url,retrieved_at,status,note
i0012,6n-west-caribbean-belize-liberty-galveston,price_interior,778,666,-14.4%,665.59,665.59,yes,"""price"":{""value"":665.59}","2028-02 floor, 2028-02-04",https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-cruise-from-galveston-on-liberty-LB06W326?sailDate=2028-02-04&packageCode=LB06W326&groupId=LB06GAL-739201255&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0012,6n-west-caribbean-belize-liberty-galveston,price_balcony,1116,966,-13.4%,966.09,966.09,yes,"""price"":{""value"":966.09}","2028-02 floor, 2028-02-04",https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-cruise-from-galveston-on-liberty-LB06W326?sailDate=2028-02-04&packageCode=LB06W326&groupId=LB06GAL-739201255&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0012,6n-west-caribbean-belize-liberty-galveston,month_price_overrides,2028-02:i778|b1116,2028-02:i666|b966,n/a,,,yes,n/a,1 months re-derived from source,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-cruise-from-galveston-on-liberty-LB06W326?sailDate=2028-02-04&packageCode=LB06W326&groupId=LB06GAL-739201255&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0012,6n-west-caribbean-belize-liberty-galveston,date_checked,2026-09-15,2026-09-22,n/a,,,yes,n/a,row re-verified from source this run,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-cruise-from-galveston-on-liberty-LB06W326?sailDate=2028-02-04&packageCode=LB06W326&groupId=LB06GAL-739201255&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0013,6n-west-caribbean-roatan-liberty-galveston,price_interior,854,742,-13.1%,741.61,741.61,yes,"""price"":{""value"":741.61}","2028-04 floor, 2028-04-15",https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-cruise-from-galveston-on-liberty-LB06W327?sailDate=2028-04-15&packageCode=LB06W327&groupId=LB06GAL-1251154622&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0013,6n-west-caribbean-roatan-liberty-galveston,price_balcony,1192,1042,-12.6%,1042.11,1042.11,yes,"""price"":{""value"":1042.11}","2028-04 floor, 2028-04-15",https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-cruise-from-galveston-on-liberty-LB06W327?sailDate=2028-04-15&packageCode=LB06W327&groupId=LB06GAL-1251154622&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0013,6n-west-caribbean-roatan-liberty-galveston,month_price_overrides,2027-12:i1097|b1469|2028-04:i854|b1192,2027-12:i1097|b1469|2028-04:i742|b1042,n/a,,,yes,n/a,2 months re-derived from source,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-cruise-from-galveston-on-liberty-LB06W327?sailDate=2028-04-15&packageCode=LB06W327&groupId=LB06GAL-1251154622&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0013,6n-west-caribbean-roatan-liberty-galveston,date_checked,2026-09-15,2026-09-22,n/a,,,yes,n/a,row re-verified from source this run,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-cruise-from-galveston-on-liberty-LB06W327?sailDate=2028-04-15&packageCode=LB06W327&groupId=LB06GAL-1251154622&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0014,5n-west-caribbean-holiday-liberty-galveston,price_interior,913,838,-8.2%,838.11,838.11,yes,"""price"":{""value"":838.11}","2026-12 floor, 2026-12-21",https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-holiday-from-galveston-on-liberty-LB05W651?sailDate=2026-12-21&packageCode=LB05W651&groupId=LB05GAL-1143185905&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0014,5n-west-caribbean-holiday-liberty-galveston,price_balcony,1351,1238,-8.4%,1238.11,1238.11,yes,"""price"":{""value"":1238.11}","2026-12 floor, 2026-12-21",https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-holiday-from-galveston-on-liberty-LB05W651?sailDate=2026-12-21&packageCode=LB05W651&groupId=LB05GAL-1143185905&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0014,5n-west-caribbean-holiday-liberty-galveston,month_price_overrides,2026-12:i913|b1351,2026-12:i838|b1238,n/a,,,yes,n/a,1 months re-derived from source,https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-holiday-from-galveston-on-liberty-LB05W651?sailDate=2026-12-21&packageCode=LB05W651&groupId=LB05GAL-1143185905&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0014,5n-west-caribbean-holiday-liberty-galveston,date_checked,2026-09-15,2026-09-22,n/a,,,yes,n/a,row re-verified from source this run,https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-holiday-from-galveston-on-liberty-LB05W651?sailDate=2026-12-21&packageCode=LB05W651&groupId=LB05GAL-1143185905&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0015,8n-cococay-caribbean-symphony-galveston,price_interior,951,985,+3.6%,985.2,985.2,yes,"""price"":{""value"":985.2}","2027-05 floor, 2027-05-08",https://www.royalcaribbean.com/itinerary/8-night-western-caribbean-perfect-day-from-galveston-on-symphony-SY08W062?sailDate=2026-09-26&packageCode=SY08W062&groupId=SY08GAL-3078699647&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0015,8n-cococay-caribbean-symphony-galveston,price_balcony,1143,1072,-6.2%,1072.2,1072.2,yes,"""price"":{""value"":1072.2}","2027-05 floor, 2027-05-08",https://www.royalcaribbean.com/itinerary/8-night-western-caribbean-perfect-day-from-galveston-on-symphony-SY08W062?sailDate=2026-09-26&packageCode=SY08W062&groupId=SY08GAL-3078699647&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0015,8n-cococay-caribbean-symphony-galveston,month_price_overrides,2027-05:i951|b1143|2027-06:i1451|b1593|2027-07:i1300|b1434,2027-05:i985|b1072|2027-06:i1505|b1544|2027-07:i1300|b1435,n/a,,,yes,n/a,3 months re-derived from source,https://www.royalcaribbean.com/itinerary/8-night-western-caribbean-perfect-day-from-galveston-on-symphony-SY08W062?sailDate=2026-09-26&packageCode=SY08W062&groupId=SY08GAL-3078699647&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0015,8n-cococay-caribbean-symphony-galveston,date_checked,2026-09-15,2026-09-22,n/a,,,yes,n/a,row re-verified from source this run,https://www.royalcaribbean.com/itinerary/8-night-western-caribbean-perfect-day-from-galveston-on-symphony-SY08W062?sailDate=2026-09-26&packageCode=SY08W062&groupId=SY08GAL-3078699647&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0016,9n-west-caribbean-liberty-galveston,date_checked,2026-09-15,2026-09-22,n/a,,,yes,n/a,row re-verified from source this run,https://www.royalcaribbean.com/itinerary/9-night-western-caribbean-cruise-from-galveston-on-liberty-LB09W212?sailDate=2027-08-12&packageCode=LB09W212&groupId=LB09GAL-4006346939&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0017,7n-west-caribbean-icon-galveston,price_interior,1139,1026,-9.9%,1026.06,1026.06,yes,"""price"":{""value"":1026.06}","2028-02 floor, 2028-02-20",https://www.royalcaribbean.com/itinerary/7-night-western-caribbean-from-galveston-on-icon-IC07W792?sailDate=2028-02-27&packageCode=IC07W792&groupId=IC07GAL-3851841632&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0017,7n-west-caribbean-icon-galveston,price_balcony,1380,1302,-5.7%,1301.7,1301.7,yes,"""price"":{""value"":1301.7}","2028-01 floor, 2028-01-09",https://www.royalcaribbean.com/itinerary/7-night-western-caribbean-from-galveston-on-icon-IC07W792?sailDate=2028-02-27&packageCode=IC07W792&groupId=IC07GAL-3851841632&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0017,7n-west-caribbean-icon-galveston,month_price_overrides,2027-11:i1199|b1400|2027-12:i1179|b1380|2028-01:i1212|b1450|2028-02:i1139|b1470|2028-03:i1438|b1680|2028-04:i1459|b1700,2027-11:i1199|b1400|2027-12:i1179|b1380|2028-01:i1101|b1302|2028-02:i1026|b1320|2028-03:i1325|b1530|2028-04:i1346|b1550,n/a,,,yes,n/a,6 months re-derived from source,https://www.royalcaribbean.com/itinerary/7-night-western-caribbean-from-galveston-on-icon-IC07W792?sailDate=2028-02-27&packageCode=IC07W792&groupId=IC07GAL-3851841632&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0017,7n-west-caribbean-icon-galveston,date_checked,2026-09-15,2026-09-22,n/a,,,yes,n/a,row re-verified from source this run,https://www.royalcaribbean.com/itinerary/7-night-western-caribbean-from-galveston-on-icon-IC07W792?sailDate=2028-02-27&packageCode=IC07W792&groupId=IC07GAL-3851841632&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0018,10n-galveston-to-fort-lauderdale-symphony,date_checked,2026-09-15,2026-09-22,n/a,,,yes,n/a,row re-verified from source this run,https://www.royalcaribbean.com/itinerary/10-night-galveston-to-ft-lauderdale-from-galveston-on-symphony-SY10R043?sailDate=2027-08-08&packageCode=SY10R043&groupId=SY10GAL-4021308263&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
o007,07_offers.csv,show_banner,yes,no,n/a,,,yes,Fall Frenzy Sale is the only promotion in the page payload; no Instant Savings Flash Sale block present,n/a,https://www.royalcaribbean.com/cruise-deals,2026-09-22T17:40:08Z,expired,ended 2026-09-16; banner must stop rendering
o007,07_offers.csv,status,verified,expired,n/a,,,yes,Fall Frenzy Sale is the only promotion in the page payload; no Instant Savings Flash Sale block present,n/a,https://www.royalcaribbean.com/cruise-deals,2026-09-22T17:40:08Z,expired,
o008,07_offers.csv,new-row,(none),"Fall Frenzy Sale, 2026-09-17 to 2026-09-22, show_banner=yes",n/a,,,yes,"""title"":""Fall Frenzy Sale"",""type"":""flash_sale"" ... ""startDate"":""2026-09-17T04:00:00.000Z"",""endDate"":""2026-09-23T04:00:00.000Z"",""extended"":false ... perks ""Up to $900 off"" / ""+ Up to $100 off on short getaways"" / ""+ 3rd and 4th guests sail free""",n/a,https://www.royalcaribbean.com/cruise-deals,2026-09-22T17:40:08Z,verified,end_date set to 2026-09-22 because the official endDate 2026-09-23T04:00:00Z is midnight ET on the 23rd and generate.py:383 gates start_date <= today <= end_date inclusively
